feature,target,mean,median,mean_abs,p25,p75,sign_consistency,n_anchors,by_year,by_regime,label,flags,nonlinear_oof_r2
inst_z,turnover_rate,0.014,0.016,0.113,-0.096,0.107,0.55,100,"{""2014"": 0.064, ""2015"": 0.09, ""2016"": -0.077, ""2017"": 0.11, ""2018"": -0.021, ""2019"": 0.045, ""2020"": 0.019, ""2021"": -0.066, ""2022"": -0.025, ""2023"": 0.017, ""2024"": -0.046, ""2025"": 0.05, ""2026"": -0.074}","{""normal"": -0.008, ""weak"": 0.075}",LOW_OBSERVED_OVERLAP,,
trust_streak,score,0.02,0.017,0.029,-0.003,0.041,0.73,100,"{""2014"": 0.025, ""2015"": 0.01, ""2016"": 0.009, ""2017"": 0.016, ""2018"": 0.039, ""2019"": 0.008, ""2020"": 0.006, ""2021"": 0.017, ""2022"": 0.031, ""2023"": 0.016, ""2024"": 0.039, ""2025"": 0.013, ""2026"": 0.028}","{""normal"": 0.016, ""weak"": 0.031}",LOW_OBSERVED_OVERLAP,,
trust_streak,rev_rank,0.009,0.007,0.024,-0.013,0.028,0.57,100,"{""2014"": 0.019, ""2015"": 0.005, ""2016"": 0.002, ""2017"": 0.005, ""2018"": 0.019, ""2019"": -0.001, ""2020"": -0.003, ""2021"": 0.004, ""2022"": 0.023, ""2023"": -0.004, ""2024"": 0.023, ""2025"": 0.004, ""2026"": 0.019}","{""normal"": 0.004, ""weak"": 0.02}",LOW_OBSERVED_OVERLAP,,-0.0007
trust_streak,fp,0.063,0.066,0.066,0.034,0.092,0.93,100,"{""2014"": 0.065, ""2015"": 0.051, ""2016"": 0.069, ""2017"": 0.08, ""2018"": 0.087, ""2019"": 0.073, ""2020"": 0.063, ""2021"": 0.08, ""2022"": 0.06, ""2023"": 0.094, ""2024"": 0.048, ""2025"": 0.034, ""2026"": 0.008}","{""normal"": 0.061, ""weak"": 0.07}",LOW_OBSERVED_OVERLAP,,0.0037
trust_streak,chip,0.029,0.034,0.04,0.003,0.054,0.772,79,"{""2016"": 0.053, ""2017"": 0.034, ""2018"": 0.058, ""2019"": 0.015, ""2020"": 0.005, ""2021"": 0.015, ""2022"": 0.005, ""2023"": 0.038, ""2024"": 0.044, ""2025"": 0.038, ""2026"": 0.031}","{""normal"": 0.03, ""weak"": 0.025}",LOW_OBSERVED_OVERLAP,,0.0004
trust_streak,tilt,0.053,0.057,0.058,0.035,0.079,0.9,100,"{""2014"": 0.065, ""2015"": 0.051, ""2016"": 0.071, ""2017"": 0.061, ""2018"": 0.085, ""2019"": 0.045, ""2020"": 0.033, ""2021"": 0.047, ""2022"": 0.03, ""2023"": 0.072, ""2024"": 0.056, ""2025"": 0.046, ""2026"": 0.031}","{""normal"": 0.053, ""weak"": 0.055}",LOW_OBSERVED_OVERLAP,,0.0027
trust_streak,size,0.005,-0.003,0.119,-0.088,0.091,0.49,100,"{""2014"": -0.073, ""2015"": -0.041, ""2016"": -0.021, ""2017"": -0.037, ""2018"": 0.07, ""2019"": -0.003, ""2020"": 0.016, ""2021"": 0.023, ""2022"": 0.167, ""2023"": 0.126, ""2024"": 0.075, ""2025"": -0.174, ""2026"": -0.032}","{""normal"": -0.023, ""weak"": 0.083}",LOW_OBSERVED_OVERLAP,,
trust_streak,liquidity,0.008,-0.003,0.095,-0.085,0.079,0.49,100,"{""2014"": -0.043, ""2015"": -0.03, ""2016"": -0.014, ""2017"": -0.032, ""2018"": 0.056, ""2019"": -0.002, ""2020"": 0.015, ""2021"": 0.022, ""2022"": 0.141, ""2023"": 0.094, ""2024"": 0.066, ""2025"": -0.124, ""2026"": -0.015}","{""normal"": -0.014, ""weak"": 0.073}",LOW_OBSERVED_OVERLAP,,
trust_streak,volatility,-0.003,-0.001,0.041,-0.042,0.032,0.51,100,"{""2014"": 0.03, ""2015"": 0.005, ""2016"": 0.004, ""2017"": 0.002, ""2018"": -0.043, ""2019"": -0.006, ""2020"": -0.009, ""2021"": -0.016, ""2022"": -0.017, ""2023"": -0.036, ""2024"": 0.001, ""2025"": 0.016, ""2026"": 0.031}","{""normal"": -0.0, ""weak"": -0.012}",LOW_OBSERVED_OVERLAP,,
trust_streak,turnover_rate,-0.001,-0.004,0.039,-0.034,0.027,0.53,100,"{""2014"": 0.035, ""2015"": 0.002, ""2016"": -0.0, ""2017"": -0.006, ""2018"": -0.017, ""2019"": -0.004, ""2020"": -0.002, ""2021"": -0.005, ""2022"": 0.014, ""2023"": -0.014, ""2024"": 0.015, ""2025"": -0.032, ""2026"": 0.003}","{""normal"": -0.004, ""weak"": 0.007}",LOW_OBSERVED_OVERLAP,,
